STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County,
"DOLLAR GENERAL 6719",-77.21286,34.683369,"550 Sandridge Rd","","Hubert","NC","28539","4361","ONSLOW" 
"DOLLAR GENERAL 6656",-81.092308,35.900162,"87 Old Mountain Rd","","Hiddenite","NC","28636","","ALEXANDER" 
"FOOD LION 2618",-78.617973,34.632416,"1202 W Broad St","","Elizabethtown","NC","28337","9530","BLADEN" 
"SHEETZ 365",-78.760323,35.596386,"1655 N Main St","","Fuquay Varina","NC","27526","9021","WAKE" 
"SHEETZ 356",-79.889359,36.057274,"4319 W Wendover Ave","","Greensboro","NC","27407","1910","GUILFORD" 
"MOREHEAD MINI MART",-78.921555,35.99194,"1601 Morehead Ave","","Durham","NC","27707","1120","DURHAM" 
"DOLLAR GENERAL 6859",-77.403481,35.528099,"195 Main St","","Winterville","NC","28590","9665","PITT" 
"DOLLAR GENERAL 6971",-77.833153,34.259666,"6789 Market St","","Wilmington","NC","28405","3786","NEW HANOVER" 
"LYNNS STOP AND SHOP",-81.15332,35.436832,"5161 E Highway 27","","Iron Station","NC","28080","9436","LINCOLN" 
"WALKERS GROCERY & SERVICE STATION",-79.35743,36.417686,"24 Old NC Highway 86 S","","Yanceyville","NC","27379","9358","CASWELL" 
"Q A EXPRESS MART",-80.738625,35.20433,"5632 Farm Pond Ln","","Charlotte","NC","28212","3775","MECKLENBURG" 
"DEN'S MART",-80.808006,35.23233,"2235 The Plaza","","Charlotte","NC","28205","3035","MECKLENBURG" 
"FOOD LION 2582",-81.166702,36.131927,"1300 WESTWOOD LN","","WILKESBORO","NC","28697","","WILKES" 
"DOLLAR GENERAL 6206",-80.570587,35.001736,"1949 Old Charlotte Hwy","","Monroe","NC","28110","9110","UNION" 
"WACO STOP N SHOP",-81.431892,35.360443,"2135 CHERRYVILLE HWY","","WACO","NC","28169","","CLEVELAND" 
"TOWN & COUNTRY IGA",-76.860779,34.734386,"1180 Highway 24","","Newport","NC","28570","8141","CARTERET" 
"MAC'S GENERAL MERCHANDISE",-78.510551,35.311932,"4432 NC 242 Hwy S","","Dunn","NC","28334","7820","HARNETT" 
"SHEETZ 366",-79.908173,36.059643,"5421 Hornaday Rd","","Greensboro","NC","27407","2747","GUILFORD" 
"JAY'S FOOD MART",-79.403252,35.168896,"200 W Morganton Rd","","Southern Pines","NC","28387","","MOORE" 
"PEACHES N CREAM",-80.119148,34.978825,"2735 US Highway 74 W","","Wadesboro","NC","28170","","ANSON" 
"La Bonita",-78.451683,35.643818,"911 E Main St","","Clayton","NC","27520","2629","JOHNSTON" 
"SHEETZ 361",-78.558273,35.898827,"4801 Thornton Rd","","Raleigh","NC","27616","3110","WAKE" 
"RITE AID 11332",-79.399948,36.055416,"841 S Main St","","Graham","NC","27253","3763","ALAMANCE" 
"HAROLDS GALAXY SUPERMARKET",-83.241638,35.372631,"80 W Sylva Shopping Area","","Sylva","NC","28779","5264","JACKSON" 
"YADKIN VALLEY GENERAL STORE",-80.847031,36.245064,"302 E Main St","","Elkin","NC","28621","3514","SURRY" 
"GEB FOOD MARTE",-80.78186,35.249226,"4314 The Plaza","Suite B","Charlotte","NC","28205","","MECKLENBURG" 
"BYRUM FOOD MART",-80.895576,35.299576,"1727 Oakdale Rd","","Charlotte","NC","28216","1419","MECKLENBURG" 
"K.G.'S QUIK STOP 103",-82.049042,35.738598,"4613 US 221 N","","Marion","NC","28752","7196","MCDOWELL" 
"FOOD LION 690",-79.488083,34.761375,"1301 Scotland Crossing Dr","","Laurinburg","NC","28352","5414","SCOTLAND" 
"SESSOMS' PACKING OF AHOSKIE",-76.988335,36.25573,"329 Jernigan Airport Rd","","Ahoskie","NC","27910","9384","HERTFORD" 
"ALDI 16",-80.859703,35.304932,"4120 Sunset Rd","","Charlotte","NC","28216","7615","MECKLENBURG" 
"RITE AID 11504",-79.058243,35.031219,"7860 Raeford Rd","","Fayetteville","NC","28304","5921","CUMBERLAND" 
"RITE AID 11502",-78.87738,35.057446,"108 Rowan St","","Fayetteville","NC","28301","4920","CUMBERLAND" 
"HARRIS TEETER 058",-78.864418,35.737892,"750 W Williams St","","Apex","NC","27502","5100","WAKE" 
"La Victoria",-80.26104,36.142292,"321 Polo Rd","","Winston Salem","NC","27105","3442","FORSYTH" 
"FREDS STORE 1343",-82.861603,35.532307,"70 New Clyde Hwy","","Canton","NC","28716","4210","HAYWOOD" 
"Rite Aid 11542",-81.329849,35.769703,"10 29th Ave NE","","Hickory","NC","28601","1126","CATAWBA" 
"FAMILY DOLLAR STORE 5203",-80.796875,35.190945,"917 N Wendover Rd","","Charlotte","NC","28211","1122","MECKLENBURG" 
"FAMILY DOLLAR STORE 3843",-80.876198,35.155079,"5925 South Blvd","","Charlotte","NC","28217","4123","MECKLENBURG" 
"Rite Aid 11559",-82.703163,35.27364,"45 Hendersonville Hwy","","Pisgah Forest","NC","28768","","TRANSYLVANIA" 
"WHOLE FOODS MARKET 10041",-78.919937,36.006245,"621 Broad St","","Durham","NC","27705","4832","DURHAM" 
"FROG ISLAND SEAFOOD",-75.976227,36.386364,"3997 Caratoke Hwy","","Barco","NC","27917","","CURRITUCK" 
"FREDS STORE 2873",-81.555222,35.266224,"1528 S Lafayette St","","Shelby","NC","28152","7155","CLEVELAND" 
"KATHIE'S BAZAR",-78.022346,34.826263,"106 S Sycamore St","","Rose Hill","NC","28458","","DUPLIN" 
"WALGREEN 02700",-80.560692,35.007236,"1993 Dickerson Blvd","","Monroe","NC","28110","2795","UNION" 
"HILL BILLY MARKET",-82.829773,35.892349,"43 NW US 25 70 Hwy","","Hot Springs","NC","28743","","MADISON" 
"Rite Aid 11560",-83.213524,35.374146,"36 Sunrise Park","","Sylva","NC","28779","3135","JACKSON" 
"WALGREEN 02453",-77.334488,35.600197,"3101 E 10th St","","Greenville","NC","27858","4203","PITT" 
"WALGREEN 07548",-77.829651,35.962109,"2624 Sunset Ave","","Rocky Mount","NC","27804","3747","NASH" 
"WALGREEN 01956",-78.00351,34.236095,"319 Village Rd NE","","Leland","NC","28451","7417","BRUNSWICK" 
"WALGREEN 01611",-78.611725,35.840065,"4309 Wake Forest Rd","","Raleigh","NC","27609","6276","WAKE" 
"WALGREEN 01560",-77.891373,34.173973,"3720 S College Rd","","Wilmington","NC","28412","2004","NEW HANOVER" 
"WALGREEN 07317",-78.933952,35.911762,"6405 Fayetteville Rd","","Durham","NC","27713","8713","DURHAM" 
"WALGREEN 06547",-78.878296,35.104416,"3300 Ramsey St","","Fayetteville","NC","28301","7624","CUMBERLAND" 
"WALGREEN 06812",-79.850464,36.039593,"3701 High Point Rd","","Greensboro","NC","27407","4627","GUILFORD" 
"WALGREEN 07981",-77.899895,34.050232,"1361 N Lake Park Blvd","","Carolina Beach","NC","28428","3946","NEW HANOVER" 
"WALGREEN 07919",-77.829895,34.261593,"6861 Market St","","Wilmington","NC","28405","9724","NEW HANOVER" 
"WALGREEN 07801",-78.469078,35.650043,"11306 US Highway 70 W","","Clayton","NC","27520","2206","JOHNSTON" 
"WALGREEN 07748",-77.384521,34.767414,"359 Western Blvd","","Jacksonville","NC","28546","6347","ONSLOW" 
"WALGREEN 07715",-77.381111,35.577805,"103 Greenville Blvd SE","","Greenville","NC","27858","5707","PITT" 
